name,sha256,path
prvsiyan_frontier,02b1fee4b0e48027d4d3baeeb99518346f4fc5a14724cdb202d09a3425b15a79,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/prvsiyan_frontier/raw/main.py
_extract_submission_tar,23b0d0c93bcf3dfecaabfecd950ec4ab3b4c46000c0c481bddcf0a63ce019f02,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/adaptive_route_v2/raw/_extract_submission_tar/main.py
_extract_submission_tar_2,c4a6964cec3c1c99207c32bb1fd91e53c3ec01e6890da5734331cbeab1cc1267,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/boatlee29/raw/_extract_submission_tar/main.py
_extract_submission_tar_3,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/kaito27_current/raw/_extract_submission_tar/main.py
_extract_submission_tar_4,69f06a802b62aa08f28705dab5728eb924bb6a7c23ffe0164f65b104cc3dadf3,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/kaito43_current/raw/_extract_submission_tar/main.py
_extract_submission_tar_5,b041058ec187a8d0a01edc0eab8de068b53deca3e6c1973faf74ace6916ddcb9,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/kaito58/raw/_extract_submission_tar/main.py
reacting_aurax7_v2_public_refresh,f2b220fc188ef8682debf729ea76f377b8a23a424c05eb375ef287dbc5533281,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/prvsiyan_frontier/raw/reacting_aurax7_v2_public_refresh/main.py
reacting_evgen_v226_public_refresh,9d04afe20b6658fca77bd583b8f2894702e41de1f2106216eac3e7e3295a3933,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/prvsiyan_frontier/raw/reacting_evgen_v226_public_refresh/main.py
reacting_market_smart_public_refresh,495bfa4825c9e58638e804aeeb62a9537826f6d4d869222815e1bbeefd84d3dc,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/prvsiyan_frontier/raw/reacting_market_smart_public_refresh/main.py
_extract_submission_tar_6,0cc2a88594f82b6c8d3cb15fcd4aa2df2bdd2a0a7fb0133d95a3204dd2d6ba38,./kaggriculture_elite_bundle_PATCHED_v2/public_agents/elite/shape_top10/raw/_extract_submission_tar/main.py
notebook_baseline,e5fe6dc3a24412fb856b4c3eed16202dd1d8c23b2a7342c2fa5a20bce309129b,./public_agents/gzmcr/baseline/artifacts/notebook_baseline/main.py
rl_001_macro_market,1a190f8937b6f8a367c8fb357c2e56d3983b509270efb26bebfa03016b28fd70,./public_agents/gzmcr/baseline/artifacts/rl_001_macro_market/main.py
rl_003_trade_timing,654e83404644e76b85f89c38c34f7e2e70d751c061803377db02ca8654ab5da9,./public_agents/gzmcr/baseline/artifacts/rl_003_trade_timing/main.py
rl_004_trade_timing,b361ecfa07d8f68b04abd41d1f9744ce0c386a7a91301c597506bb18a0cbd3c3,./public_agents/gzmcr/baseline/artifacts/rl_004_trade_timing/main.py
rl_005_multi_opponent,fc0437e6273d0314ef8e3c205653d068736fb05d747b8d2a3e0e7819d5db9bff,./public_agents/gzmcr/baseline/artifacts/rl_005_multi_opponent/main.py
rl_006_bidirectional_timing,cb7fbcb899f2197f92cbf7a60455266c25ebc1ae2114d60c16221fb38fc2e0ab,./public_agents/gzmcr/baseline/artifacts/rl_006_bidirectional_timing/main.py
h1_only,c0e8e98ea177610c64202f2108a66a2245984ca44de81168e6f739121558213f,./public_agents/gzmcr/baseline/artifacts/rl_007_next_turn_preemption/h1_only/main.py
h2_only,e948b4bbab06464125d6d5e73ae7666fdbda4a982ea845a4367ec5977b6b1816,./public_agents/gzmcr/baseline/artifacts/rl_007_next_turn_preemption/h2_only/main.py
h3_only,be3bc4133b0c5f9dd6c014ddcd841938a13be6b2bcf1fcff32b82a7559769141,./public_agents/gzmcr/baseline/artifacts/rl_007_next_turn_preemption/h3_only/main.py
rl_007_next_turn_preemption,85fd12cba485d1c94eded1e9b3f10aaa1256480dc81b397421eee15d34ad8036,./public_agents/gzmcr/baseline/artifacts/rl_007_next_turn_preemption/main.py
gated_bidirectional,3af80b94ab3d0d18717b069c338310c1260fccf73c1113117e8a9da2f97f4a30,./public_agents/gzmcr/baseline/artifacts/rl_008_small_shift_timing/gated_bidirectional/main.py
gated_preempt,001a7ca55059ae84ad078a91596a9825d58d6a13eaffde9a54a2b4b61e8e0854,./public_agents/gzmcr/baseline/artifacts/rl_008_small_shift_timing/gated_preempt/main.py
